"myopic","gender","sportHR","readHR","compHR","studyHR","TVHR","mumMyopic","dadMyopic"
1,"male",9,4,1,0,7,"No","Yes"
0,"male",18,0,4,0,16,"No","No"
0,"female",0,1,0,0,8,"Yes","No"
0,"male",30,7,7,0,20,"Yes","Yes"
0,"male",7,0,0,4,4,"Yes","Yes"
0,"female",26,9,1,10,7,"No","Yes"
0,"male",2,0,4,7,10,"No","No"
0,"female",6,2,0,1,7,"No","Yes"
0,"male",10,2,3,2,8,"Yes","No"
0,"male",11,3,1,0,7,"No","No"
1,"male",8,12,10,0,10,"Yes","No"
0,"male",14,4,1,3,11,"No","Yes"
0,"male",5,1,0,0,23,"No","No"
0,"female",6,2,0,1,5,"Yes","Yes"
0,"female",4,0,4,1,20,"No","Yes"
0,"female",10,0,2,2,4,"Yes","No"
0,"female",7,0,0,2,25,"Yes","No"
0,"female",10,2,1,0,7,"No","Yes"
0,"female",8,4,2,0,6,"Yes","Yes"
0,"female",3,8,1,1,9,"Yes","No"
0,"female",10,3,0,7,5,"Yes","Yes"
0,"male",9,0,5,0,5,"Yes","No"
0,"male",8,0,1,0,14,"Yes","Yes"
0,"male",26,0,0,0,8,"No","No"
0,"female",2,0,0,0,5,"No","No"
0,"male",4,0,2,0,14,"Yes","Yes"
0,"male",14,5,0,3,7,"No","Yes"
0,"female",20,0,2,0,4,"No","Yes"
0,"female",10,2,7,7,11,"Yes","No"
0,"male",22,0,0,0,27,"No","Yes"
1,"female",3,0,0,0,3,"Yes","Yes"
0,"female",7,4,2,0,14,"Yes","No"
0,"female",8,2,0,1,21,"No","No"
1,"female",16,4,1,5,14,"Yes","Yes"
0,"male",10,1,1,4,5,"No","No"
0,"female",28,7,5,2,8,"No","Yes"
0,"female",21,7,0,0,11,"No","No"
0,"male",25,8,0,5,10,"Yes","No"
0,"female",10,7,1,3,10,"No","Yes"
0,"female",6,3,0,1,4,"No","No"
0,"male",26,1,10,2,4,"No","No"
0,"female",10,0,2,0,15,"Yes","Yes"
0,"male",15,1,2,1,10,"No","Yes"
0,"female",21,1,2,14,21,"No","Yes"
0,"female",14,0,0,0,7,"No","Yes"
0,"male",9,2,1,2,4,"Yes","Yes"
0,"male",14,1,2,2,8,"Yes","Yes"
0,"male",3,0,1,1,7,"Yes","Yes"
1,"female",10,1,2,2,5,"Yes","Yes"
0,"male",24,0,3,1,20,"No","No"
0,"female",4,3,1,0,2,"No","Yes"
1,"female",10,0,0,0,21,"Yes","Yes"
0,"female",15,5,1,1,10,"No","Yes"
0,"female",2,1,0,0,14,"Yes","Yes"
0,"male",2,0,4,1,15,"No","No"
1,"male",1,1,0,1,10,"Yes","Yes"
1,"female",14,2,0,1,8,"No","No"
0,"male",14,9,7,5,17,"No","Yes"
1,"female",22,9,0,3,7,"Yes","No"
0,"male",6,6,0,2,1,"No","No"
0,"male",6,0,1,1,3,"Yes","No"
0,"male",6,0,6,0,4,"Yes","Yes"
0,"female",2,0,1,0,3,"Yes","No"
0,"female",5,5,0,0,7,"Yes","No"
0,"male",15,0,6,0,10,"No","Yes"
0,"female",14,7,1,1,14,"No","No"
0,"female",4,2,3,3,4,"No","No"
1,"female",18,3,1,1,6,"Yes","Yes"
0,"female",8,2,0,2,3,"No","Yes"
0,"female",10,0,0,0,10,"No","No"
0,"female",10,2,0,0,10,"Yes","No"
0,"female",7,3,1,2,10,"No","No"
0,"female",5,12,0,0,7,"No","Yes"
0,"female",10,2,0,1,10,"Yes","No"
0,"male",14,6,0,1,2,"No","Yes"
1,"female",10,0,0,0,10,"Yes","Yes"
0,"female",4,3,0,0,4,"No","Yes"
0,"female",6,0,0,0,12,"Yes","Yes"
0,"female",20,0,0,5,7,"Yes","Yes"
0,"male",20,4,1,0,14,"No","Yes"
0,"female",9,2,1,5,7,"No","No"
0,"male",6,0,2,0,10,"Yes","No"
0,"female",21,5,14,0,7,"Yes","No"
0,"female",5,1,0,0,15,"Yes","No"
0,"female",5,3,0,0,10,"No","No"
0,"male",35,14,2,2,10,"Yes","No"
1,"female",7,1,0,2,3,"Yes","Yes"
0,"male",18,0,2,0,21,"No","No"
0,"female",4,2,2,1,2,"No","No"
0,"female",8,0,0,1,4,"Yes","No"
0,"male",10,2,4,2,8,"Yes","Yes"
0,"male",8,3,1,0,3,"Yes","No"
0,"male",10,1,0,0,15,"Yes","No"
1,"female",7,3,2,3,4,"No","Yes"
0,"male",16,2,0,1,2,"No","Yes"
0,"male",30,0,7,3,7,"No","Yes"
0,"male",17,4,1,0,2,"No","Yes"
1,"female",3,3,2,0,7,"Yes","No"
0,"female",16,0,0,3,9,"No","No"
1,"female",0,3,4,5,13,"Yes","No"
0,"female",20,3,1,1,14,"No","Yes"
0,"female",5,10,2,0,15,"Yes","No"
0,"female",5,1,2,1,5,"No","No"
0,"female",6,2,0,0,3,"Yes","Yes"
0,"female",10,5,1,2,10,"Yes","Yes"
1,"female",6,14,0,4,11,"Yes","No"
0,"female",15,1,2,1,10,"No","No"
0,"male",10,0,2,0,3,"Yes","No"
0,"male",25,0,0,0,15,"No","Yes"
0,"female",8,0,0,0,6,"Yes","No"
0,"male",5,2,3,0,5,"Yes","Yes"
0,"female",4,4,0,5,18,"Yes","No"
0,"male",3,3,1,1,4,"Yes","No"
0,"male",10,8,1,0,2,"No","Yes"
0,"male",20,15,5,4,10,"No","Yes"
0,"female",10,0,7,0,10,"No","No"
0,"male",4,0,0,2,10,"Yes","No"
0,"male",20,0,2,1,3,"No","No"
0,"female",21,5,3,5,9,"No","Yes"
0,"female",7,0,1,0,7,"Yes","No"
0,"female",4,0,2,0,7,"Yes","Yes"
1,"female",20,3,1,0,5,"No","Yes"
0,"female",15,3,0,0,15,"Yes","Yes"
0,"female",15,3,0,1,7,"Yes","Yes"
0,"male",12,2,2,0,14,"Yes","No"
1,"male",15,1,2,1,10,"Yes","Yes"
0,"male",17,0,0,2,10,"No","Yes"
0,"male",5,5,2,0,5,"Yes","Yes"
0,"female",8,8,0,1,14,"No","Yes"
0,"female",16,0,1,0,8,"No","No"
0,"male",30,3,1,0,10,"No","Yes"
0,"female",4,4,0,0,2,"Yes","Yes"
0,"female",12,8,1,1,10,"Yes","No"
0,"female",12,1,0,1,8,"Yes","No"
0,"male",10,2,4,1,3,"Yes","No"
0,"male",7,4,4,1,4,"No","Yes"
0,"female",26,2,0,1,14,"No","No"
0,"male",20,1,6,1,10,"No","No"
0,"male",14,1,1,1,2,"Yes","Yes"
0,"female",0,7,0,3,6,"Yes","No"
0,"female",4,3,0,3,6,"No","Yes"
0,"male",5,1,3,0,3,"Yes","Yes"
0,"male",9,4,7,2,4,"Yes","Yes"
0,"male",7,7,20,0,9,"No","Yes"
1,"female",7,0,5,0,14,"Yes","No"
1,"male",2,3,4,0,16,"Yes","Yes"
0,"male",18,0,1,4,11,"Yes","Yes"
0,"male",14,0,0,2,14,"Yes","No"
1,"female",4,2,1,0,21,"No","No"
0,"male",25,0,20,0,14,"Yes","Yes"
0,"male",10,0,4,0,8,"No","Yes"
0,"female",10,2,0,0,10,"No","Yes"
0,"male",5,4,10,1,4,"Yes","No"
0,"female",1,0,0,1,7,"Yes","Yes"
0,"female",18,3,0,1,14,"No","Yes"
0,"male",10,4,8,2,20,"No","Yes"
0,"female",6,2,1,1,0,"No","No"
0,"male",6,0,0,1,4,"No","No"
0,"female",12,8,6,0,15,"No","No"
0,"female",20,0,4,15,0,"Yes","No"
0,"female",4,3,0,3,6,"Yes","Yes"
0,"female",7,7,1,0,4,"No","No"
1,"male",3,1,1,1,7,"No","Yes"
0,"female",14,5,7,3,9,"Yes","No"
0,"male",7,4,8,0,20,"No","No"
1,"female",10,4,4,1,6,"Yes","No"
0,"male",9,4,4,3,7,"No","No"
0,"male",8,4,2,0,4,"Yes","No"
0,"male",2,2,1,2,3,"Yes","Yes"
1,"male",5,3,0,0,14,"Yes","Yes"
0,"female",24,3,1,2,21,"No","No"
0,"male",6,2,1,0,2,"No","No"
0,"male",20,0,5,0,10,"No","No"
0,"male",14,4,1,3,9,"No","Yes"
0,"female",7,5,5,1,5,"Yes","No"
0,"female",10,1,1,1,5,"No","No"
0,"female",20,5,0,0,10,"No","Yes"
1,"male",5,0,2,0,1,"Yes","No"
0,"male",10,0,0,1,14,"No","Yes"
0,"female",16,4,0,0,6,"Yes","No"
0,"female",15,3,0,1,3,"Yes","No"
0,"female",9,4,2,5,18,"No","No"
0,"female",6,2,0,1,10,"No","Yes"
0,"male",3,1,2,1,25,"No","No"
0,"male",16,2,3,3,9,"No","Yes"
0,"male",7,5,2,0,1,"Yes","Yes"
0,"female",22,8,0,3,8,"No","No"
0,"female",10,1,3,1,6,"Yes","No"
0,"female",15,1,1,0,16,"Yes","No"
0,"female",15,0,2,0,6,"Yes","No"
0,"female",3,0,0,0,2,"Yes","No"
0,"female",41,2,0,2,16,"Yes","No"
0,"male",7,3,0,1,7,"No","Yes"
0,"female",18,3,0,2,9,"No","No"
0,"female",7,1,0,1,5,"No","No"
0,"female",10,3,1,1,5,"Yes","No"
0,"female",20,0,0,1,10,"Yes","Yes"
0,"female",2,0,5,0,0,"Yes","Yes"
0,"male",10,0,3,0,3,"No","No"
1,"female",20,4,0,3,4,"Yes","Yes"
1,"male",1,1,1,1,1,"Yes","Yes"
0,"female",1,1,1,1,2,"No","No"
0,"male",6,1,2,1,3,"No","Yes"
0,"male",10,3,2,0,6,"No","Yes"
0,"female",10,0,2,0,5,"No","No"
0,"male",10,0,10,0,10,"No","No"
0,"female",7,4,0,7,4,"No","Yes"
0,"male",20,3,0,0,4,"No","Yes"
0,"male",4,2,2,0,2,"Yes","No"
0,"female",20,0,0,4,10,"No","Yes"
0,"male",2,1,0,0,1,"Yes","No"
1,"female",15,4,11,1,14,"Yes","Yes"
0,"female",40,7,0,0,5,"Yes","No"
0,"male",9,1,3,1,6,"Yes","Yes"
1,"male",32,6,10,10,8,"No","Yes"
0,"male",8,1,1,0,20,"Yes","Yes"
0,"male",18,14,0,0,14,"Yes","Yes"
0,"female",10,0,2,0,15,"Yes","Yes"
0,"female",8,0,0,0,10,"Yes","No"
0,"female",3,3,1,0,7,"No","No"
0,"male",20,4,0,5,16,"Yes","No"
0,"male",15,0,0,0,20,"No","Yes"
0,"male",20,2,2,2,10,"No","No"
0,"male",8,0,2,0,8,"No","No"
0,"female",12,3,0,0,5,"No","Yes"
0,"female",7,6,4,1,6,"Yes","No"
0,"female",4,0,0,1,4,"No","No"
0,"female",9,7,4,10,6,"Yes","No"
0,"male",15,1,1,2,6,"No","No"
0,"female",4,0,0,1,2,"No","No"
0,"female",9,0,3,0,9,"No","Yes"
0,"male",14,4,6,0,14,"No","No"
0,"male",15,3,3,1,5,"No","Yes"
0,"male",7,2,2,0,2,"No","No"
0,"male",28,0,2,2,7,"Yes","No"
0,"male",14,4,5,1,12,"Yes","Yes"
1,"male",10,1,6,3,6,"Yes","No"
0,"male",18,0,1,0,16,"Yes","No"
1,"female",20,0,0,2,10,"Yes","No"
1,"male",14,4,3,3,9,"Yes","No"
0,"female",8,1,2,2,4,"No","No"
0,"female",5,5,2,2,3,"No","Yes"
0,"male",21,4,2,5,3,"No","Yes"
0,"female",20,10,0,0,14,"Yes","No"
0,"female",8,2,1,2,3,"Yes","Yes"
0,"female",20,7,4,0,1,"No","Yes"
1,"female",2,0,1,1,3,"Yes","Yes"
0,"male",10,2,1,2,7,"Yes","Yes"
0,"male",12,5,2,0,11,"Yes","Yes"
0,"female",10,0,2,2,10,"Yes","No"
0,"female",4,0,0,0,14,"No","Yes"
1,"female",8,0,3,0,14,"Yes","Yes"
0,"female",7,7,1,4,7,"No","No"
0,"male",5,6,5,2,4,"No","Yes"
0,"female",5,5,0,5,5,"Yes","Yes"
0,"female",15,0,2,0,20,"Yes","Yes"
0,"female",14,9,0,6,1,"No","No"
0,"female",14,4,0,1,7,"Yes","Yes"
0,"male",15,3,1,2,14,"No","No"
0,"female",3,0,1,1,5,"No","No"
0,"female",7,7,0,0,7,"Yes","Yes"
0,"male",14,1,0,0,10,"No","No"
1,"female",7,4,0,1,14,"No","Yes"
0,"male",10,0,7,0,10,"No","Yes"
0,"female",10,2,3,1,3,"Yes","Yes"
0,"female",10,0,1,0,10,"No","No"
0,"female",10,4,0,0,10,"Yes","Yes"
1,"male",5,0,0,0,2,"Yes","Yes"
0,"male",16,4,1,1,6,"No","No"
1,"female",15,0,0,0,4,"Yes","Yes"
0,"male",6,0,3,0,6,"Yes","No"
0,"female",13,9,0,0,9,"No","Yes"
0,"male",6,0,4,2,12,"No","Yes"
0,"male",5,1,0,1,30,"No","No"
0,"male",30,5,5,1,1,"No","Yes"
0,"male",10,1,1,0,10,"No","No"
0,"male",5,0,0,0,21,"Yes","No"
0,"male",23,0,0,0,8,"Yes","No"
1,"male",3,4,2,0,7,"Yes","No"
0,"female",20,2,2,2,2,"Yes","No"
0,"female",9,4,0,4,7,"No","No"
0,"female",18,4,0,5,14,"No","Yes"
0,"male",7,3,3,1,12,"No","Yes"
0,"female",10,3,1,1,2,"No","No"
0,"male",16,1,0,1,3,"No","Yes"
0,"female",8,2,0,5,5,"Yes","Yes"
0,"female",4,2,4,0,8,"No","No"
0,"male",1,1,1,1,1,"No","No"
0,"male",9,5,0,0,14,"No","Yes"
0,"female",10,0,1,3,5,"Yes","Yes"
1,"male",2,1,2,2,3,"No","Yes"
0,"male",12,7,2,0,10,"Yes","No"
0,"male",16,2,4,1,10,"No","No"
1,"male",0,1,5,0,2,"Yes","Yes"
0,"male",3,0,3,0,4,"Yes","Yes"
0,"female",10,0,2,0,20,"No","No"
0,"male",9,2,6,0,10,"No","Yes"
0,"female",5,2,4,2,5,"No","Yes"
0,"female",11,0,0,0,4,"Yes","Yes"
0,"male",6,0,3,0,20,"No","Yes"
0,"female",10,7,0,1,14,"No","Yes"
0,"female",15,4,0,0,7,"No","No"
1,"female",18,4,0,0,16,"No","Yes"
0,"female",16,7,0,0,9,"Yes","No"
0,"male",20,0,5,2,8,"No","No"
0,"female",14,1,1,1,6,"No","No"
0,"male",15,2,1,2,10,"Yes","Yes"
0,"female",6,14,0,2,10,"Yes","No"
0,"male",21,7,3,0,7,"Yes","Yes"
0,"male",18,4,0,2,7,"No","No"
0,"female",7,8,0,0,14,"No","No"
1,"female",10,3,3,1,10,"Yes","Yes"
0,"female",4,2,3,3,6,"No","No"
0,"female",10,12,0,5,12,"No","No"
1,"female",2,3,1,0,3,"Yes","Yes"
0,"male",12,2,2,1,8,"No","No"
0,"female",39,0,0,0,12,"No","Yes"
0,"male",4,0,1,2,14,"Yes","Yes"
0,"female",7,5,2,6,7,"No","Yes"
0,"female",5,0,1,0,7,"No","No"
0,"male",18,4,2,5,7,"No","No"
0,"male",36,0,5,0,18,"Yes","Yes"
0,"male",9,4,7,3,9,"Yes","No"
0,"male",7,4,0,1,4,"Yes","No"
0,"male",17,9,14,9,9,"Yes","No"
0,"male",26,0,0,0,4,"No","No"
0,"female",20,0,1,0,10,"Yes","Yes"
0,"male",15,2,2,1,7,"Yes","Yes"
0,"male",30,8,0,0,2,"No","No"
0,"male",5,3,3,0,6,"No","No"
0,"female",20,7,0,0,4,"Yes","Yes"
0,"male",4,1,0,1,1,"No","Yes"
0,"female",4,2,1,2,7,"No","No"
0,"male",15,2,2,1,10,"No","Yes"
0,"female",2,1,1,1,2,"No","Yes"
0,"male",15,1,5,0,30,"Yes","No"
0,"female",19,9,2,4,9,"Yes","Yes"
0,"female",5,5,0,10,0,"Yes","Yes"
0,"female",7,7,3,0,7,"No","No"
0,"male",30,1,3,1,30,"Yes","No"
0,"male",23,9,7,7,11,"No","No"
0,"male",10,2,12,0,4,"No","No"
0,"male",5,10,2,0,3,"No","No"
0,"male",12,2,3,0,8,"Yes","No"
0,"female",21,2,0,2,14,"Yes","No"
0,"male",7,2,3,2,10,"Yes","Yes"
0,"male",15,0,10,0,15,"No","Yes"
1,"female",7,5,0,3,1,"No","Yes"
0,"female",20,8,0,1,4,"No","No"
0,"male",6,0,4,0,6,"Yes","Yes"
0,"male",18,0,0,0,12,"No","Yes"
0,"female",12,2,1,0,0,"No","No"
0,"female",14,2,1,1,6,"No","Yes"
0,"male",10,6,0,6,2,"Yes","Yes"
1,"female",22,5,0,4,11,"No","No"
0,"female",2,1,1,1,4,"No","Yes"
0,"female",16,0,1,0,8,"Yes","No"
0,"female",28,14,0,4,21,"Yes","No"
1,"female",0,0,0,0,16,"Yes","Yes"
1,"female",4,1,0,0,5,"No","No"
0,"male",25,4,4,4,12,"Yes","No"
0,"male",20,3,2,1,10,"Yes","No"
0,"male",14,1,1,1,18,"No","Yes"
0,"male",23,9,0,9,19,"No","No"
0,"male",6,2,2,1,8,"Yes","No"
0,"female",4,1,1,0,3,"No","No"
0,"female",7,5,0,2,5,"No","No"
0,"female",12,4,1,0,0,"Yes","Yes"
0,"female",6,0,2,3,15,"No","No"
1,"male",16,0,1,1,14,"Yes","No"
0,"male",0,7,7,0,30,"Yes","No"
0,"male",6,5,4,0,6,"Yes","Yes"
0,"female",20,15,5,2,15,"No","Yes"
0,"male",3,3,2,0,5,"Yes","No"
0,"female",18,0,0,0,3,"Yes","Yes"
0,"male",24,0,4,1,18,"No","No"
0,"male",12,3,0,5,9,"No","No"
0,"male",10,0,5,1,14,"Yes","Yes"
0,"male",13,0,0,0,5,"No","Yes"
0,"male",30,0,0,0,5,"Yes","Yes"
0,"female",12,4,0,1,10,"Yes","No"
0,"female",16,0,1,0,8,"No","No"
0,"female",14,7,0,3,5,"Yes","Yes"
0,"female",16,4,0,5,14,"No","Yes"
0,"female",13,4,3,5,9,"No","Yes"
1,"male",14,7,1,0,10,"Yes","Yes"
0,"female",11,1,1,4,9,"Yes","No"
0,"male",15,5,0,0,6,"No","No"
0,"male",12,0,0,3,18,"No","Yes"
0,"female",22,4,1,3,13,"No","No"
0,"female",8,2,2,1,4,"No","Yes"
0,"female",7,7,0,1,7,"Yes","Yes"
0,"male",31,0,0,6,5,"Yes","No"
1,"female",10,5,1,1,10,"Yes","Yes"
0,"male",15,0,2,0,2,"No","Yes"
1,"female",9,7,0,0,5,"No","Yes"
0,"female",18,2,1,1,8,"Yes","Yes"
0,"male",11,14,2,6,15,"Yes","No"
0,"male",18,3,0,1,10,"No","Yes"
0,"female",3,0,0,0,14,"Yes","Yes"
0,"male",35,6,0,4,14,"No","Yes"
0,"female",6,2,1,3,8,"No","Yes"
0,"male",5,5,2,5,5,"Yes","No"
0,"male",10,0,5,0,7,"Yes","No"
1,"male",17,0,10,1,25,"Yes","Yes"
0,"male",6,0,6,0,4,"No","No"
0,"female",0,1,0,1,7,"Yes","No"
0,"female",18,7,7,15,4,"No","No"
1,"male",20,0,0,0,4,"Yes","No"
0,"male",3,0,2,2,3,"Yes","No"
0,"male",14,1,2,1,3,"No","No"
0,"female",4,1,1,1,6,"No","No"
0,"male",8,2,0,5,6,"Yes","Yes"
0,"female",14,5,1,1,4,"Yes","No"
0,"male",18,3,1,0,3,"Yes","No"
0,"male",13,0,2,0,16,"Yes","Yes"
0,"male",20,12,1,7,4,"No","Yes"
1,"female",3,2,0,0,10,"No","Yes"
0,"female",12,0,1,1,12,"Yes","Yes"
0,"male",14,7,0,0,3,"No","No"
0,"male",10,4,11,0,6,"Yes","Yes"
0,"male",5,1,2,1,5,"Yes","Yes"
0,"male",0,0,0,10,31,"Yes","No"
1,"male",17,3,2,4,19,"No","Yes"
0,"female",25,0,0,0,2,"No","No"
0,"female",7,1,0,3,2,"No","No"
1,"female",3,2,0,1,12,"No","No"
0,"female",0,0,0,0,16,"Yes","Yes"
0,"female",4,4,0,0,15,"No","Yes"
1,"female",3,10,10,3,10,"No","Yes"
0,"male",12,0,5,1,3,"Yes","Yes"
0,"female",5,0,0,3,5,"No","Yes"
0,"female",20,2,2,1,10,"No","No"
0,"male",30,7,1,1,12,"Yes","No"
0,"female",15,0,7,0,21,"Yes","Yes"
0,"male",3,1,0,1,8,"Yes","No"
0,"male",15,0,1,0,7,"Yes","Yes"
0,"male",5,1,0,2,4,"Yes","No"
0,"male",14,5,1,1,14,"No","Yes"
0,"female",20,3,2,3,10,"Yes","No"
0,"male",28,0,4,0,9,"Yes","No"
0,"female",20,4,2,1,7,"Yes","No"
1,"female",1,1,1,1,1,"No","Yes"
1,"male",22,7,7,3,9,"No","Yes"
0,"male",20,0,2,1,8,"No","No"
0,"male",41,1,7,1,11,"Yes","Yes"
0,"male",14,6,1,2,9,"Yes","No"
1,"male",5,4,5,3,7,"Yes","Yes"
0,"male",12,3,10,3,10,"Yes","No"
1,"female",3,3,21,1,12,"No","Yes"
0,"male",23,9,0,9,19,"No","No"
0,"female",15,4,2,2,15,"Yes","Yes"
1,"male",10,5,8,0,5,"Yes","Yes"
0,"male",15,1,1,0,15,"Yes","No"
0,"male",9,2,4,3,0,"Yes","Yes"
0,"male",22,1,4,1,2,"Yes","No"
0,"female",29,0,0,0,22,"No","Yes"
0,"male",10,0,0,0,10,"No","Yes"
0,"male",8,2,3,2,8,"No","No"
0,"female",8,7,6,0,12,"No","No"
0,"female",25,0,3,0,3,"No","No"
0,"female",30,3,0,4,20,"No","Yes"
0,"male",3,0,10,0,5,"Yes","No"
0,"female",14,4,0,5,11,"No","No"
0,"female",10,0,0,0,15,"No","Yes"
0,"male",16,2,9,6,16,"Yes","No"
0,"female",11,7,0,5,16,"No","Yes"
0,"male",9,0,5,0,14,"Yes","No"
0,"female",8,10,0,0,8,"Yes","No"
0,"male",20,3,2,3,8,"Yes","No"
0,"female",7,2,2,1,2,"Yes","No"
0,"male",25,5,2,3,6,"Yes","No"
0,"female",3,0,1,0,15,"Yes","No"
0,"male",10,0,2,0,21,"Yes","No"
1,"female",10,7,3,4,5,"Yes","Yes"
0,"male",25,0,0,0,10,"No","No"
0,"male",31,5,5,3,11,"Yes","Yes"
0,"male",15,5,2,5,7,"No","Yes"
0,"male",10,4,0,8,8,"No","Yes"
0,"female",20,2,1,1,10,"Yes","Yes"
0,"female",4,2,3,1,2,"Yes","Yes"
0,"male",9,9,0,7,2,"No","Yes"
0,"male",7,2,1,2,3,"Yes","No"
0,"male",10,0,5,0,10,"Yes","No"
0,"female",15,0,0,0,14,"No","No"
0,"female",0,3,5,5,5,"Yes","No"
0,"male",27,9,0,3,11,"Yes","Yes"
0,"female",5,0,2,2,3,"No","Yes"
0,"female",21,0,0,0,10,"Yes","Yes"
0,"male",2,1,3,1,4,"No","Yes"
0,"female",14,6,2,2,10,"Yes","Yes"
1,"male",10,2,1,0,7,"Yes","No"
0,"male",14,1,1,2,6,"No","No"
1,"male",7,7,0,0,7,"Yes","Yes"
0,"female",26,0,0,0,5,"Yes","Yes"
0,"female",18,0,2,0,27,"Yes","Yes"
0,"female",2,3,1,0,2,"Yes","No"
0,"female",3,2,1,0,5,"Yes","No"
0,"male",18,0,4,0,11,"Yes","No"
0,"male",28,7,0,2,7,"Yes","No"
0,"female",5,7,3,3,10,"Yes","Yes"
0,"male",7,5,10,1,4,"Yes","No"
1,"male",6,0,2,0,14,"Yes","Yes"
1,"female",18,5,0,2,14,"Yes","No"
0,"male",14,10,8,1,10,"Yes","Yes"
0,"male",2,1,0,0,1,"Yes","No"
0,"male",20,1,0,2,10,"No","No"
0,"male",14,0,3,0,17,"No","No"
0,"female",5,3,1,0,5,"No","Yes"
0,"female",15,4,1,1,10,"Yes","Yes"
0,"male",10,5,2,0,5,"Yes","No"
0,"female",11,4,4,1,16,"Yes","Yes"
1,"male",5,10,4,1,4,"Yes","Yes"
0,"female",10,0,2,0,10,"Yes","Yes"
0,"male",15,5,2,1,10,"No","Yes"
0,"male",25,1,0,0,1,"Yes","Yes"
0,"female",20,5,5,1,7,"No","No"
0,"male",20,7,5,1,17,"Yes","No"
0,"male",8,1,2,1,7,"Yes","Yes"
1,"female",20,2,1,2,16,"Yes","Yes"
0,"female",15,9,2,0,25,"No","No"
0,"male",25,1,4,1,5,"No","No"
0,"male",10,0,0,0,2,"No","Yes"
0,"male",10,0,10,2,20,"Yes","Yes"
0,"male",6,0,1,1,3,"Yes","No"
0,"male",10,0,6,0,10,"No","Yes"
0,"female",15,3,5,12,10,"No","No"
0,"female",2,2,0,1,10,"Yes","No"
0,"female",2,1,0,0,1,"Yes","No"
0,"female",6,2,2,0,20,"Yes","No"
0,"male",7,2,2,0,3,"Yes","No"
0,"female",5,2,1,0,14,"Yes","Yes"
0,"male",9,2,3,1,4,"Yes","Yes"
0,"female",2,3,0,1,2,"Yes","No"
0,"male",12,1,1,1,6,"No","No"
0,"male",8,3,0,0,5,"No","No"
0,"female",15,0,0,0,7,"Yes","Yes"
