"match","subject_m","goal_m","date_m","go_out_m","subject_f","goal_f","date_f","go_out_f"
0,"Sciences","meet ppl","almost never","2/month","Sciences","other","almost never","2/month"
0,"Arts+Humanities","fun","1/week","> 2/week","Sciences","other","almost never","2/month"
0,"Law","fun","2/month","> 2/week","Sciences","other","almost never","2/month"
0,"Econ","other","several/yr","1/week","Sciences","other","almost never","2/month"
0,"Law","fun","1/month","1/week","Arts+Humanities","fun","several/yr","2/week"
0,"Law","other","2/month","2/week","Arts+Humanities","fun","several/yr","2/week"
0,NA,"meet ppl","almost never","almost never","Arts+Humanities","fun","several/yr","2/week"
1,"Econ","meet ppl","several/yr","1/week","Arts+Humanities","fun","several/yr","2/week"
0,"Econ","meet ppl","several/yr","2/week","Arts+Humanities","fun","several/yr","2/week"
0,"Sciences","meet ppl","several/yr","2/week","Arts+Humanities","fun","several/yr","2/week"
0,"Law","meet ppl","several/yr","1/month","Arts+Humanities","fun","several/yr","2/week"
0,"Econ","fun","1/week","2/week","Arts+Humanities","fun","several/yr","2/week"
0,"Econ","fun","several/yr","> 2/week","Arts+Humanities","fun","several/yr","2/week"
0,"Sciences","meet ppl","almost never","2/month","Arts+Humanities","fun","several/yr","2/week"
0,"Econ","other","several/yr","1/week","Arts+Humanities","fun","several/yr","2/week"
0,"Law","other","several/yr","2/week","Arts+Humanities","fun","several/yr","2/week"
0,"Law","fun","2/month","> 2/week","Arts+Humanities","fun","several/yr","2/week"
1,"Arts+Humanities","fun","1/week","> 2/week","Arts+Humanities","fun","several/yr","2/week"
0,"Econ","fun","1/month","> 2/week","Arts+Humanities","fun","several/yr","2/week"
1,"Econ","other","several/yr","1/week","Arts+Humanities","fun","> 2/week","> 2/week"
0,"Sciences","meet ppl","almost never","2/month","Arts+Humanities","fun","> 2/week","> 2/week"
0,NA,"meet ppl","almost never","almost never","Arts+Humanities","fun","> 2/week","> 2/week"
0,"Law","fun","1/month","1/week","Arts+Humanities","fun","> 2/week","> 2/week"
0,"Econ","fun","several/yr","> 2/week","Arts+Humanities","fun","> 2/week","> 2/week"
0,"Sciences","meet ppl","several/yr","2/week","Arts+Humanities","fun","> 2/week","> 2/week"
1,"Arts+Humanities","fun","1/week","> 2/week","Arts+Humanities","fun","> 2/week","> 2/week"
0,"Law","other","2/month","2/week","Arts+Humanities","fun","> 2/week","> 2/week"
0,"Law","meet ppl","several/yr","1/month","Arts+Humanities","fun","> 2/week","> 2/week"
0,"Law","fun","2/month","> 2/week","Arts+Humanities","fun","> 2/week","> 2/week"
0,"Econ","fun","1/week","2/week","Arts+Humanities","fun","> 2/week","> 2/week"
1,"Econ","meet ppl","several/yr","1/week","Arts+Humanities","fun","> 2/week","> 2/week"
0,"Econ","fun","1/month","> 2/week","Arts+Humanities","fun","> 2/week","> 2/week"
0,"Econ","meet ppl","several/yr","2/week","Arts+Humanities","fun","> 2/week","> 2/week"
0,"Law","other","several/yr","2/week","Arts+Humanities","fun","> 2/week","> 2/week"
0,"Econ","fun","1/week","2/week","Arts+Humanities","fun","several/yr","2/week"
0,"Arts+Humanities","fun","1/week","> 2/week","Arts+Humanities","fun","several/yr","2/week"
0,"Sciences","meet ppl","several/yr","2/week","Arts+Humanities","fun","several/yr","2/week"
0,"Law","meet ppl","several/yr","1/month","Arts+Humanities","fun","several/yr","2/week"
0,"Econ","other","several/yr","1/week","Arts+Humanities","fun","several/yr","2/week"
0,"Law","other","2/month","2/week","Arts+Humanities","fun","several/yr","2/week"
0,"Law","fun","1/month","1/week","Arts+Humanities","fun","several/yr","2/week"
0,"Law","fun","2/month","> 2/week","Arts+Humanities","fun","several/yr","2/week"
0,"Econ","meet ppl","several/yr","1/week","Arts+Humanities","fun","several/yr","2/week"
0,"Sciences","meet ppl","almost never","2/month","Arts+Humanities","fun","several/yr","2/week"
0,"Econ","fun","1/month","> 2/week","Arts+Humanities","fun","several/yr","2/week"
1,"Econ","meet ppl","several/yr","2/week","Arts+Humanities","fun","several/yr","2/week"
0,"Econ","fun","several/yr","> 2/week","Arts+Humanities","fun","several/yr","2/week"
1,"Law","other","several/yr","2/week","Arts+Humanities","fun","several/yr","2/week"
0,NA,"meet ppl","almost never","almost never","Arts+Humanities","fun","several/yr","2/week"
1,"Econ","meet ppl","several/yr","2/week","Arts+Humanities",NA,NA,NA
0,"Arts+Humanities","fun","1/week","> 2/week","Arts+Humanities",NA,NA,NA
0,"Econ","other","several/yr","1/week","Arts+Humanities",NA,NA,NA
0,"Law","meet ppl","several/yr","1/month","Arts+Humanities",NA,NA,NA
0,"Law","other","2/month","2/week","Arts+Humanities",NA,NA,NA
0,"Law","fun","1/month","1/week","Arts+Humanities",NA,NA,NA
0,"Econ","meet ppl","several/yr","1/week","Arts+Humanities",NA,NA,NA
0,"Law","fun","2/month","> 2/week","Arts+Humanities",NA,NA,NA
0,"Law","other","several/yr","2/week","Arts+Humanities",NA,NA,NA
0,"Econ","fun","several/yr","> 2/week","Arts+Humanities",NA,NA,NA
0,"Econ","fun","1/month","> 2/week","Arts+Humanities",NA,NA,NA
0,NA,"meet ppl","almost never","almost never","Arts+Humanities",NA,NA,NA
0,"Sciences","meet ppl","almost never","2/month","Arts+Humanities",NA,NA,NA
0,"Econ","fun","1/week","2/week","Arts+Humanities",NA,NA,NA
0,"Sciences","meet ppl","several/yr","2/week","Arts+Humanities",NA,NA,NA
0,"Econ","meet ppl","several/yr","2/week","Law","fun","almost never","2/week"
0,"Arts+Humanities","fun","1/week","> 2/week","Law","fun","almost never","2/week"
0,"Sciences","meet ppl","several/yr","2/week","Law","fun","almost never","2/week"
0,"Econ","other","several/yr","1/week","Law","fun","almost never","2/week"
0,"Law","fun","2/month","> 2/week","Law","fun","almost never","2/week"
0,"Econ","meet ppl","several/yr","1/week","Law","fun","almost never","2/week"
0,"Sciences","meet ppl","almost never","2/month","Law","fun","almost never","2/week"
0,"Law","meet ppl","several/yr","1/month","Law","fun","almost never","2/week"
0,"Econ","fun","several/yr","> 2/week","Law","fun","almost never","2/week"
0,NA,"meet ppl","almost never","almost never","Law","fun","almost never","2/week"
0,"Law","fun","1/month","1/week","Law","fun","almost never","2/week"
0,"Econ","fun","1/month","> 2/week","Law","fun","almost never","2/week"
0,"Law","other","several/yr","2/week","Law","fun","almost never","2/week"
1,"Law","other","2/month","2/week","Law","fun","almost never","2/week"
1,"Econ","fun","1/week","2/week","Law","fun","almost never","2/week"
0,"Econ","meet ppl","several/yr","2/week","Law","fun","2/month","1/week"
0,"Sciences","meet ppl","several/yr","2/week","Law","fun","2/month","1/week"
0,"Econ","meet ppl","several/yr","1/week","Law","fun","2/month","1/week"
0,"Law","meet ppl","several/yr","1/month","Law","fun","2/month","1/week"
0,"Sciences","meet ppl","almost never","2/month","Law","fun","2/month","1/week"
1,"Law","other","several/yr","2/week","Law","fun","2/month","1/week"
0,"Econ","fun","several/yr","> 2/week","Law","fun","2/month","1/week"
0,"Econ","other","several/yr","1/week","Law","fun","2/month","1/week"
0,"Arts+Humanities","fun","1/week","> 2/week","Law","fun","2/month","1/week"
0,NA,"meet ppl","almost never","almost never","Law","fun","2/month","1/week"
0,"Econ","fun","1/month","> 2/week","Law","fun","2/month","1/week"
1,"Law","other","2/month","2/week","Law","fun","2/month","1/week"
0,"Law","fun","2/month","> 2/week","Law","fun","2/month","1/week"
0,"Law","fun","1/month","1/week","Law","fun","2/month","1/week"
1,"Econ","fun","1/week","2/week","Law","fun","2/month","1/week"
0,"Law","meet ppl","several/yr","1/month","Arts+Humanities","fun","2/month","2/week"
0,NA,"meet ppl","almost never","almost never","Arts+Humanities","fun","2/month","2/week"
0,"Econ","meet ppl","several/yr","1/week","Arts+Humanities","fun","2/month","2/week"
0,"Econ","meet ppl","several/yr","2/week","Arts+Humanities","fun","2/month","2/week"
0,"Econ","fun","several/yr","> 2/week","Arts+Humanities","fun","2/month","2/week"
0,"Law","other","2/month","2/week","Arts+Humanities","fun","2/month","2/week"
0,"Sciences","meet ppl","almost never","2/month","Arts+Humanities","fun","2/month","2/week"
0,"Sciences","meet ppl","several/yr","2/week","Arts+Humanities","fun","2/month","2/week"
0,"Law","other","several/yr","2/week","Arts+Humanities","fun","2/month","2/week"
0,"Econ","fun","1/month","> 2/week","Arts+Humanities","fun","2/month","2/week"
0,"Econ","other","several/yr","1/week","Arts+Humanities","fun","2/month","2/week"
0,"Law","fun","2/month","> 2/week","Arts+Humanities","fun","2/month","2/week"
0,"Econ","fun","1/week","2/week","Arts+Humanities","fun","2/month","2/week"
0,"Law","fun","1/month","1/week","Arts+Humanities","fun","2/month","2/week"
0,"Arts+Humanities","fun","1/week","> 2/week","Arts+Humanities","fun","2/month","2/week"
0,"Econ","other","several/yr","1/week","Arts+Humanities","other","several/yr","> 2/week"
0,"Econ","fun","1/month","> 2/week","Arts+Humanities","other","several/yr","> 2/week"
0,"Econ","fun","several/yr","> 2/week","Arts+Humanities","other","several/yr","> 2/week"
0,"Law","other","several/yr","2/week","Arts+Humanities","other","several/yr","> 2/week"
0,"Econ","meet ppl","several/yr","2/week","Arts+Humanities","other","several/yr","> 2/week"
0,"Law","fun","2/month","> 2/week","Arts+Humanities","other","several/yr","> 2/week"
0,"Law","meet ppl","several/yr","1/month","Arts+Humanities","other","several/yr","> 2/week"
0,"Arts+Humanities","fun","1/week","> 2/week","Arts+Humanities","other","several/yr","> 2/week"
0,"Econ","meet ppl","several/yr","1/week","Arts+Humanities","other","several/yr","> 2/week"
0,"Sciences","meet ppl","almost never","2/month","Arts+Humanities","other","several/yr","> 2/week"
0,"Sciences","meet ppl","several/yr","2/week","Arts+Humanities","other","several/yr","> 2/week"
0,"Econ","fun","1/week","2/week","Arts+Humanities","other","several/yr","> 2/week"
0,"Law","fun","1/month","1/week","Arts+Humanities","other","several/yr","> 2/week"
0,"Law","other","2/month","2/week","Arts+Humanities","other","several/yr","> 2/week"
0,NA,"meet ppl","almost never","almost never","Arts+Humanities","other","several/yr","> 2/week"
0,"Econ","fun","several/yr","> 2/week","Econ","fun","several/yr","2/week"
0,"Law","meet ppl","several/yr","1/month","Econ","fun","several/yr","2/week"
0,"Econ","other","several/yr","1/week","Econ","fun","several/yr","2/week"
0,"Law","fun","2/month","> 2/week","Econ","fun","several/yr","2/week"
0,"Arts+Humanities","fun","1/week","> 2/week","Econ","fun","several/yr","2/week"
0,"Econ","meet ppl","several/yr","1/week","Econ","fun","several/yr","2/week"
0,"Econ","fun","1/month","> 2/week","Econ","fun","several/yr","2/week"
0,"Sciences","meet ppl","almost never","2/month","Econ","fun","several/yr","2/week"
0,"Sciences","meet ppl","several/yr","2/week","Econ","fun","several/yr","2/week"
1,"Econ","fun","1/week","2/week","Econ","fun","several/yr","2/week"
0,"Law","other","several/yr","2/week","Econ","fun","several/yr","2/week"
0,"Law","other","2/month","2/week","Econ","fun","several/yr","2/week"
0,"Law","fun","1/month","1/week","Econ","fun","several/yr","2/week"
1,"Econ","meet ppl","several/yr","2/week","Econ","fun","several/yr","2/week"
0,NA,"meet ppl","almost never","almost never","Econ","fun","several/yr","2/week"
0,"Econ","other","several/yr","1/week","Sciences","fun","several/yr","1/week"
1,"Econ","fun","1/week","2/week","Sciences","fun","several/yr","1/week"
0,"Law","other","2/month","2/week","Sciences","fun","several/yr","1/week"
0,"Law","fun","2/month","> 2/week","Sciences","fun","several/yr","1/week"
1,"Law","other","several/yr","2/week","Sciences","fun","several/yr","1/week"
1,"Econ","meet ppl","several/yr","1/week","Sciences","fun","several/yr","1/week"
0,"Arts+Humanities","fun","1/week","> 2/week","Sciences","fun","several/yr","1/week"
1,"Econ","meet ppl","several/yr","2/week","Sciences","fun","several/yr","1/week"
0,"Econ","fun","several/yr","> 2/week","Sciences","fun","several/yr","1/week"
0,NA,"meet ppl","almost never","almost never","Sciences","fun","several/yr","1/week"
0,"Law","fun","1/month","1/week","Sciences","fun","several/yr","1/week"
0,"Sciences","meet ppl","almost never","2/month","Sciences","fun","several/yr","1/week"
1,"Sciences","meet ppl","several/yr","2/week","Sciences","fun","several/yr","1/week"
0,"Law","meet ppl","several/yr","1/month","Sciences","fun","several/yr","1/week"
0,"Econ","fun","1/month","> 2/week","Sciences","fun","several/yr","1/week"
0,"Law","other","several/yr","2/week","Sciences","meet ppl","1/month","2/week"
0,"Econ","meet ppl","several/yr","2/week","Sciences","meet ppl","1/month","2/week"
0,"Arts+Humanities","fun","1/week","> 2/week","Sciences","meet ppl","1/month","2/week"
0,"Econ","meet ppl","several/yr","1/week","Sciences","meet ppl","1/month","2/week"
0,"Econ","other","several/yr","1/week","Sciences","meet ppl","1/month","2/week"
1,"Econ","fun","1/week","2/week","Sciences","meet ppl","1/month","2/week"
0,"Econ","fun","several/yr","> 2/week","Sciences","meet ppl","1/month","2/week"
0,NA,"meet ppl","almost never","almost never","Sciences","meet ppl","1/month","2/week"
0,"Law","meet ppl","several/yr","1/month","Sciences","meet ppl","1/month","2/week"
0,"Law","other","2/month","2/week","Sciences","meet ppl","1/month","2/week"
1,"Law","fun","1/month","1/week","Sciences","meet ppl","1/month","2/week"
0,"Law","fun","2/month","> 2/week","Sciences","meet ppl","1/month","2/week"
0,"Econ","fun","1/month","> 2/week","Sciences","meet ppl","1/month","2/week"
0,"Sciences","meet ppl","several/yr","2/week","Sciences","meet ppl","1/month","2/week"
0,"Sciences","meet ppl","almost never","2/month","Sciences","meet ppl","1/month","2/week"
0,"Econ","meet ppl","several/yr","1/week","Arts+Humanities","meet ppl","several/yr","2/week"
0,"Law","fun","1/month","1/week","Arts+Humanities","meet ppl","several/yr","2/week"
0,"Econ","fun","1/week","2/week","Arts+Humanities","meet ppl","several/yr","2/week"
1,"Arts+Humanities","fun","1/week","> 2/week","Arts+Humanities","meet ppl","several/yr","2/week"
1,"Law","fun","2/month","> 2/week","Arts+Humanities","meet ppl","several/yr","2/week"
0,"Law","other","several/yr","2/week","Arts+Humanities","meet ppl","several/yr","2/week"
0,"Econ","other","several/yr","1/week","Arts+Humanities","meet ppl","several/yr","2/week"
0,"Econ","meet ppl","several/yr","2/week","Arts+Humanities","meet ppl","several/yr","2/week"
0,"Law","other","2/month","2/week","Arts+Humanities","meet ppl","several/yr","2/week"
0,NA,"meet ppl","almost never","almost never","Arts+Humanities","meet ppl","several/yr","2/week"
0,"Law","meet ppl","several/yr","1/month","Arts+Humanities","meet ppl","several/yr","2/week"
0,"Econ","fun","several/yr","> 2/week","Arts+Humanities","meet ppl","several/yr","2/week"
0,"Sciences","meet ppl","almost never","2/month","Arts+Humanities","meet ppl","several/yr","2/week"
0,"Sciences","meet ppl","several/yr","2/week","Arts+Humanities","meet ppl","several/yr","2/week"
0,"Econ","fun","1/month","> 2/week","Arts+Humanities","meet ppl","several/yr","2/week"
0,"Law","fun","1/month","1/week","Law","fun","2/month","1/week"
1,"Law","other","several/yr","2/week","Law","fun","2/month","1/week"
0,"Econ","meet ppl","several/yr","2/week","Law","fun","2/month","1/week"
0,"Law","fun","2/month","> 2/week","Law","fun","2/month","1/week"
0,"Law","meet ppl","several/yr","1/month","Law","fun","2/month","1/week"
1,"Econ","fun","1/week","2/week","Law","fun","2/month","1/week"
0,"Sciences","meet ppl","almost never","2/month","Law","fun","2/month","1/week"
0,"Econ","meet ppl","several/yr","1/week","Law","fun","2/month","1/week"
0,NA,"meet ppl","almost never","almost never","Law","fun","2/month","1/week"
1,"Law","other","2/month","2/week","Law","fun","2/month","1/week"
0,"Econ","fun","several/yr","> 2/week","Law","fun","2/month","1/week"
0,"Sciences","meet ppl","several/yr","2/week","Law","fun","2/month","1/week"
0,"Econ","other","several/yr","1/week","Law","fun","2/month","1/week"
0,"Arts+Humanities","fun","1/week","> 2/week","Law","fun","2/month","1/week"
0,"Econ","fun","1/month","> 2/week","Law","fun","2/month","1/week"
0,"Econ","meet ppl","several/yr","1/week","Law","fun","several/yr","2/month"
0,"Law","fun","1/month","1/week","Law","fun","several/yr","2/month"
0,"Sciences","meet ppl","several/yr","2/week","Law","fun","several/yr","2/month"
0,NA,"meet ppl","almost never","almost never","Law","fun","several/yr","2/month"
0,"Econ","meet ppl","several/yr","2/week","Law","fun","several/yr","2/month"
0,"Law","fun","2/month","> 2/week","Law","fun","several/yr","2/month"
0,"Arts+Humanities","fun","1/week","> 2/week","Law","fun","several/yr","2/month"
0,"Econ","fun","1/month","> 2/week","Law","fun","several/yr","2/month"
1,"Econ","fun","several/yr","> 2/week","Law","fun","several/yr","2/month"
0,"Sciences","meet ppl","almost never","2/month","Law","fun","several/yr","2/month"
0,"Econ","fun","1/week","2/week","Law","fun","several/yr","2/month"
0,"Law","meet ppl","several/yr","1/month","Law","fun","several/yr","2/month"
0,"Econ","other","several/yr","1/week","Law","fun","several/yr","2/month"
0,"Law","other","2/month","2/week","Law","fun","several/yr","2/month"
0,"Law","other","several/yr","2/week","Law","fun","several/yr","2/month"
1,"Sciences","fun","almost never","2/week",NA,NA,NA,NA
0,"Econ","other","2/month","2/week",NA,NA,NA,NA
0,"Econ","fun","2/week","> 2/week",NA,NA,NA,NA
0,"Econ","other","several/yr","> 2/week",NA,NA,NA,NA
0,"Econ","meet ppl","several/yr","2/month",NA,NA,NA,NA
0,"Law","other","1/month","1/week",NA,NA,NA,NA
0,"Sciences","fun","several/yr","> 2/week",NA,NA,NA,NA
0,"Arts+Humanities","fun","2/month","1/week",NA,NA,NA,NA
1,"Law","fun","several/yr","2/week",NA,NA,NA,NA
0,"Law","other","1/month","2/week",NA,NA,NA,NA
0,"Econ","other","several/yr","> 2/week",NA,NA,NA,NA
0,"Econ","fun","2/week","> 2/week",NA,NA,NA,NA
0,"Sciences","fun","several/yr","> 2/week",NA,NA,NA,NA
0,"Econ","meet ppl","several/yr","2/month",NA,NA,NA,NA
0,"Law","fun","several/yr","2/week",NA,NA,NA,NA
0,"Arts+Humanities","fun","2/month","1/week",NA,NA,NA,NA
0,"Law","other","1/month","1/week",NA,NA,NA,NA
0,"Econ","other","2/month","2/week",NA,NA,NA,NA
0,"Sciences","fun","almost never","2/week",NA,NA,NA,NA
0,"Law","other","1/month","2/week",NA,NA,NA,NA
0,"Arts+Humanities","fun","2/month","1/week","Arts+Humanities","date","several/yr","2/week"
1,"Econ","meet ppl","several/yr","2/month","Arts+Humanities","date","several/yr","2/week"
0,"Econ","other","2/month","2/week","Arts+Humanities","date","several/yr","2/week"
0,"Sciences","fun","almost never","2/week","Arts+Humanities","date","several/yr","2/week"
0,"Law","other","1/month","1/week","Arts+Humanities","date","several/yr","2/week"
0,"Econ","other","several/yr","> 2/week","Arts+Humanities","date","several/yr","2/week"
0,"Law","other","1/month","2/week","Arts+Humanities","date","several/yr","2/week"
0,"Law","fun","several/yr","2/week","Arts+Humanities","date","several/yr","2/week"
0,"Sciences","fun","several/yr","> 2/week","Arts+Humanities","date","several/yr","2/week"
