"vehicle","colour","passing.distance","street","time","helmet","kerb","city"
"ordinary car","black",1.651,"main road","Before 9:00","Yes",1,"Salisbury"
"LGV or minibus","white",0.916,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","blue",1.408,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","white",1.34,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","red",1.39,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.265,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","green",1.44,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","red",1.451,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","red",0.905,"main road","Before 9:00","Yes",1,"Salisbury"
"HGV","white",1.165,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","blue",1.118,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.463,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","blue",1.415,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","red",0.809,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","blue",1.335,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","blue",1.656,"main road","Before 9:00","Yes",1,"Salisbury"
"LGV or minibus","red",1.228,"main road","Before 9:00","Yes",1,"Salisbury"
"SUV or pickup","black",1.741,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","blue",1.488,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","blue",1.465,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","blue",1.611,"main road","Before 9:00","Yes",1,"Salisbury"
"SUV or pickup","black",1.716,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","blue",1.951,"main road","Before 9:00","Yes",1,"Salisbury"
"ordinary car","red",1.382,"main road","Before 9:00","Yes",1,"Salisbury"
"LGV or minibus","white",0.914,"one-way (two lanes)","Before 9:00","Yes",1,"Salisbury"
"ordinary car","red",0.943,"one-way (two lanes)","Before 9:00","Yes",1,"Salisbury"
"ordinary car","red",2.115,"one-way (two lanes)","Before 9:00","Yes",1,"Salisbury"
"taxi","black",1.564,"one-way (two lanes)","Before 9:00","Yes",1,"Salisbury"
"LGV or minibus","silver or grey",1.33,"urban street","Before 9:00","Yes",1,"Salisbury"
"ordinary car","white",1.469,"urban street","Before 9:00","Yes",1,"Salisbury"
"PTW","other",1.819,"urban street","Before 9:00","Yes",1,"Salisbury"
"LGV or minibus","white",1.343,"urban street","Before 9:00","Yes",1,"Salisbury"
"LGV or minibus","blue",1.292,"urban street","Before 9:00","No",1,"Salisbury"
"ordinary car","blue",1.818,"urban street","Before 9:00","No",1,"Salisbury"
"ordinary car","silver or grey",1.58,"urban street","Before 9:00","No",1,"Salisbury"
"ordinary car","black",1.688,"urban street","Before 9:00","No",1,"Salisbury"
"LGV or minibus","white",1.289,"urban street","Before 9:00","No",1,"Salisbury"
"LGV or minibus","blue",1.479,"urban street","Before 9:00","No",1,"Salisbury"
"HGV","white",1.105,"urban street","Before 9:00","No",1,"Salisbury"
"LGV or minibus","white",2.073,"residential street","Before 9:00","No",1,"Salisbury"
"LGV or minibus","white",1.408,"residential street","Before 9:00","No",1,"Salisbury"
"LGV or minibus","white",1.504,"residential street","Before 9:00","No",1,"Salisbury"
"ordinary car","blue",1.163,"main road","Before 9:00","No",1,"Salisbury"
"ordinary car","blue",1.023,"main road","Before 9:00","No",1,"Salisbury"
"ordinary car","silver or grey",1.166,"main road","Before 9:00","No",1,"Salisbury"
"LGV or minibus","white",1.125,"main road","Before 9:00","No",1,"Salisbury"
"ordinary car","blue",0.912,"main road","Before 9:00","No",1,"Salisbury"
"ordinary car","silver or grey",1.319,"main road","Before 9:00","No",1,"Salisbury"
"ordinary car","blue",1.157,"main road","Before 9:00","No",1,"Salisbury"
"ordinary car","green",1.913,"main road","Before 9:00","No",1,"Salisbury"
"ordinary car","green",1.428,"main road","Before 9:00","No",1,"Salisbury"
"HGV","other",1.354,"main road","Before 9:00","No",1,"Salisbury"
"HGV","green",1.382,"main road","Before 9:00","No",1,"Salisbury"
"ordinary car","red",1.23,"main road","Before 9:00","No",1,"Salisbury"
"ordinary car","blue",1.863,"main road","Before 9:00","No",1,"Salisbury"
"ordinary car","blue",1.613,"urban street","Middle","No",1,"Salisbury"
"LGV or minibus","white",1.393,"urban street","Middle","No",1,"Salisbury"
"ordinary car","blue",1.363,"one-way (one lane)","Middle","No",1,"Salisbury"
"LGV or minibus","red",1.513,"one-way (one lane)","Middle","No",1,"Salisbury"
"HGV","blue",1.595,"one-way (two lanes)","Middle","No",1,"Salisbury"
"ordinary car","red",1.979,"one-way (two lanes)","Middle","No",1,"Salisbury"
"ordinary car","blue",1.815,"one-way (two lanes)","Middle","No",1,"Salisbury"
"ordinary car","black",1.583,"one-way (two lanes)","Middle","No",1,"Salisbury"
"LGV or minibus","silver or grey",1.029,"urban street","Middle","No",1,"Salisbury"
"ordinary car","silver or grey",1.355,"urban street","Middle","No",1,"Salisbury"
"taxi","red",1.267,"urban street","Middle","No",1,"Salisbury"
"ordinary car","red",1.218,"urban street","Middle","No",1,"Salisbury"
"ordinary car","black",1.738,"urban street","Middle","No",1,"Salisbury"
"LGV or minibus","red",1.146,"urban street","Middle","No",1,"Salisbury"
"ordinary car","silver or grey",1.556,"urban street","Middle","No",1,"Salisbury"
"ordinary car","white",1.2,"urban street","Middle","No",1,"Salisbury"
"ordinary car","blue",1.369,"urban street","Middle","No",1,"Salisbury"
"LGV or minibus","blue",1.821,"urban street","Middle","No",1,"Salisbury"
"LGV or minibus","silver or grey",0.914,"residential street","Middle","No",1,"Salisbury"
"ordinary car","silver or grey",1.529,"main road","Middle","No",1,"Salisbury"
"PTW","blue",2.397,"main road","Middle","No",1,"Salisbury"
"ordinary car","silver or grey",1.617,"main road","Middle","No",1,"Salisbury"
"ordinary car","blue",1.229,"main road","Middle","No",1,"Salisbury"
"ordinary car","silver or grey",1.365,"main road","Middle","No",1,"Salisbury"
"HGV","other",1.395,"main road","Middle","No",1,"Salisbury"
"LGV or minibus","white",1.535,"residential street","Middle","No",1,"Salisbury"
"ordinary car","silver or grey",1.62,"main road","Middle","No",1,"Salisbury"
"ordinary car","blue",2.195,"main road","Middle","No",1,"Salisbury"
"SUV or pickup","silver or grey",1.352,"main road","Middle","No",1,"Salisbury"
"ordinary car","silver or grey",1.081,"main road","Middle","No",1,"Salisbury"
"ordinary car","other",1.552,"main road","Middle","No",1,"Salisbury"
"ordinary car","blue",2.108,"main road","Middle","No",1,"Salisbury"
"SUV or pickup","black",1.968,"main road","Middle","No",1,"Salisbury"
"LGV or minibus","blue",1.604,"main road","Middle","No",1,"Salisbury"
"ordinary car","silver or grey",1.574,"main road","Middle","No",1,"Salisbury"
"ordinary car","green",1.483,"main road","Middle","No",1,"Salisbury"
"ordinary car","white",1.455,"main road","Middle","No",1,"Salisbury"
"ordinary car","silver or grey",1.522,"main road","Middle","No",1,"Salisbury"
"ordinary car","red",1.495,"main road","Middle","No",1,"Salisbury"
"ordinary car","red",1.341,"main road","Middle","No",1,"Salisbury"
"ordinary car","blue",1.46,"main road","Middle","No",1,"Salisbury"
"ordinary car","silver or grey",1.012,"main road","Middle","Yes",1,"Salisbury"
"LGV or minibus","white",1.184,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.1,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","white",1.397,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","blue",1.554,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.484,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","black",1.603,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","blue",1.308,"main road","Middle","Yes",1,"Salisbury"
"SUV or pickup","blue",1.586,"main road","Middle","Yes",1,"Salisbury"
"LGV or minibus","black",1.623,"main road","Middle","Yes",1,"Salisbury"
"HGV","red",1.324,"main road","Middle","Yes",1,"Salisbury"
"LGV or minibus","blue",1.425,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.188,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.455,"main road","Middle","Yes",1,"Salisbury"
"LGV or minibus","white",2.032,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","blue",1.66,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","blue",1.305,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","black",1.333,"main road","Middle","Yes",1,"Salisbury"
"LGV or minibus","white",1.212,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","blue",1.143,"main road","Middle","Yes",1,"Salisbury"
"LGV or minibus","blue",1.196,"main road","Middle","Yes",1,"Salisbury"
"LGV or minibus","white",1.459,"main road","Middle","Yes",1,"Salisbury"
"SUV or pickup","black",1.728,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.633,"main road","Middle","Yes",1,"Salisbury"
"LGV or minibus","blue",1.207,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.648,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","blue",1.769,"main road","Middle","Yes",1,"Salisbury"
"taxi","red",2.011,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","silver or grey",2.311,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","blue",1.315,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","black",1.658,"main road","Middle","Yes",1,"Salisbury"
"SUV or pickup","silver or grey",2.046,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","blue",1.701,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","blue",1.533,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","blue",2.124,"main road","Middle","Yes",1,"Salisbury"
"SUV or pickup","blue",1.584,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.094,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","blue",1.997,"main road","Middle","Yes",1,"Salisbury"
"LGV or minibus","white",1.454,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","green",2.234,"main road","Middle","Yes",1,"Salisbury"
"LGV or minibus","red",1.662,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","other",2.31,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","red",1.53,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","blue",1.629,"main road","Middle","Yes",1,"Salisbury"
"LGV or minibus","blue",1.625,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.632,"main road","Middle","Yes",1,"Salisbury"
"taxi","silver or grey",1.328,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.932,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","blue",1.283,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","green",1.098,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.192,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","black",1.253,"main road","Middle","Yes",1,"Salisbury"
"SUV or pickup","other",1.112,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","red",1.303,"main road","Middle","Yes",1,"Salisbury"
"LGV or minibus","blue",1.185,"main road","Middle","Yes",1,"Salisbury"
"HGV","red",1.41,"main road","Middle","Yes",1,"Salisbury"
"SUV or pickup","blue",1.829,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.952,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","green",1.406,"main road","Middle","Yes",1,"Salisbury"
"LGV or minibus","white",1.373,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","red",1.398,"main road","Middle","Yes",1,"Salisbury"
"SUV or pickup","silver or grey",2.114,"residential street","Middle","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.331,"residential street","Middle","Yes",1,"Salisbury"
"ordinary car","blue",1.459,"residential street","Middle","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.571,"residential street","Middle","Yes",1,"Salisbury"
"ordinary car","blue",1.973,"residential street","Middle","Yes",1,"Salisbury"
"ordinary car","blue",1.765,"residential street","Middle","Yes",1,"Salisbury"
"ordinary car","red",1.609,"rural","Middle","Yes",1,"Salisbury"
"SUV or pickup","silver or grey",1.423,"rural","Middle","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.338,"main road","Middle","Yes",1,"Salisbury"
"LGV or minibus","white",1.905,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","green",2.073,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","blue",1.465,"main road","Middle","Yes",1,"Salisbury"
"LGV or minibus","white",1.465,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","blue",1.565,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","black",1.456,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","blue",1.72,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.353,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.462,"main road","Middle","Yes",1,"Salisbury"
"LGV or minibus","white",1.506,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","blue",1.251,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","black",1.428,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","blue",2.305,"main road","Middle","Yes",1,"Salisbury"
"LGV or minibus","white",1.435,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.765,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","blue",1.921,"main road","Middle","Yes",1,"Salisbury"
"taxi","black",2.026,"main road","Middle","Yes",1,"Salisbury"
"taxi","black",1.751,"main road","Middle","Yes",1,"Salisbury"
"LGV or minibus","white",2.084,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","white",2.389,"main road","Middle","Yes",1,"Salisbury"
"SUV or pickup","black",1.593,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.786,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.234,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","red",1.6,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","red",1.334,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.223,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","blue",1.416,"residential street","Middle","Yes",1,"Salisbury"
"ordinary car","blue",1.152,"residential street","Middle","Yes",1,"Salisbury"
"LGV or minibus","silver or grey",1.591,"residential street","Middle","Yes",1,"Salisbury"
"SUV or pickup","silver or grey",1.981,"residential street","Middle","Yes",1,"Salisbury"
"taxi","blue",1.355,"urban street","Middle","Yes",1,"Salisbury"
"ordinary car","green",1.415,"urban street","Middle","Yes",1,"Salisbury"
"ordinary car","blue",1.819,"urban street","Middle","Yes",1,"Salisbury"
"ordinary car","red",1.424,"urban street","Middle","Yes",1,"Salisbury"
"LGV or minibus","white",2.32,"urban street","Middle","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.451,"urban street","Middle","Yes",1,"Salisbury"
"ordinary car","green",1.158,"urban street","Middle","Yes",1,"Salisbury"
"taxi","blue",1.049,"urban street","Middle","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.762,"urban street","Middle","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.402,"urban street","Middle","Yes",1,"Salisbury"
"ordinary car","blue",1.422,"urban street","Middle","Yes",1,"Salisbury"
"ordinary car","black",1.542,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","red",1.691,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","black",1.434,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","silver or grey",1.73,"main road","Middle","Yes",1,"Salisbury"
"SUV or pickup","black",1.958,"main road","Middle","Yes",1,"Salisbury"
"taxi","blue",1.709,"main road","Middle","Yes",1,"Salisbury"
"LGV or minibus","red",1.363,"main road","Middle","Yes",1,"Salisbury"
"HGV","silver or grey",1.182,"main road","Middle","Yes",1,"Salisbury"
"SUV or pickup","silver or grey",1.433,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","green",1.524,"main road","Middle","Yes",1,"Salisbury"
"ordinary car","green",2.385,"urban street","Middle","Yes",1,"Salisbury"
"ordinary car","black",0.948,"urban street","Middle","Yes",1,"Salisbury"
"ordinary car","other",1.67,"residential street","Middle","Yes",1,"Salisbury"
"SUV or pickup","black",1.664,"urban street","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.529,"urban street","After 15:15","No",0.25,"Salisbury"
"ordinary car","white",1.223,"urban street","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.249,"one-way (one lane)","After 15:15","No",0.25,"Salisbury"
"ordinary car","red",2.441,"one-way (two lanes)","After 15:15","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.265,"urban street","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",2.462,"urban street","After 15:15","No",0.25,"Salisbury"
"ordinary car","red",1.889,"urban street","After 15:15","No",0.25,"Salisbury"
"ordinary car","black",1.081,"urban street","After 15:15","No",0.25,"Salisbury"
"ordinary car","white",1.358,"urban street","After 15:15","No",0.25,"Salisbury"
"ordinary car","silver or grey",2.409,"urban street","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.879,"urban street","After 15:15","No",0.25,"Salisbury"
"ordinary car","green",1.554,"urban street","After 15:15","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.21,"urban street","After 15:15","No",0.25,"Salisbury"
"LGV or minibus","white",1.445,"urban street","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.392,"urban street","After 15:15","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.573,"urban street","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.529,"urban street","After 15:15","No",0.25,"Salisbury"
"ordinary car","red",1.339,"urban street","After 15:15","No",0.25,"Salisbury"
"ordinary car","red",1.935,"urban street","After 15:15","No",0.25,"Salisbury"
"ordinary car","green",1.575,"urban street","After 15:15","No",0.25,"Salisbury"
"ordinary car","red",2.194,"urban street","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.211,"urban street","After 15:15","No",0.25,"Salisbury"
"ordinary car","red",1.224,"urban street","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.748,"urban street","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",2.11,"urban street","After 15:15","No",0.25,"Salisbury"
"ordinary car","red",1.885,"urban street","After 15:15","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.95,"urban street","After 15:15","No",0.25,"Salisbury"
"ordinary car","silver or grey",2.124,"urban street","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.871,"urban street","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.709,"urban street","After 15:15","No",0.25,"Salisbury"
"SUV or pickup","red",1.511,"urban street","After 15:15","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.404,"urban street","After 15:15","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.714,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","black",1.963,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","other",2.054,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","silver or grey",2.088,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",2.446,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","red",2.709,"main road","After 15:15","No",0.25,"Salisbury"
"LGV or minibus","white",1.901,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.207,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.465,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","red",1.623,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.239,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.495,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","red",1.644,"main road","After 15:15","No",0.25,"Salisbury"
"LGV or minibus","white",1.759,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","black",1.979,"main road","After 15:15","No",0.25,"Salisbury"
"SUV or pickup","red",1.861,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","silver or grey",2.088,"main road","After 15:15","No",0.25,"Salisbury"
"SUV or pickup","blue",1.916,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.673,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.85,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","black",2.214,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","red",1.698,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","black",2.181,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",2.66,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.947,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",2.102,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.888,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","red",2.21,"main road","After 15:15","No",0.25,"Salisbury"
"SUV or pickup","green",2.183,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","silver or grey",2.021,"main road","After 15:15","No",0.25,"Salisbury"
"SUV or pickup","green",2.08,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.948,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","red",1.839,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.446,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","red",1.314,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","black",1.54,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.418,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.827,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.883,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","white",1.469,"main road","After 15:15","No",0.25,"Salisbury"
"SUV or pickup","black",1.483,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","black",1.691,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","black",1.999,"main road","After 15:15","No",0.25,"Salisbury"
"LGV or minibus","white",1.245,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",2.378,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","red",1.607,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.688,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","blue",1.573,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","silver or grey",1.572,"main road","After 15:15","No",0.25,"Salisbury"
"SUV or pickup","white",1.713,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","red",1.143,"main road","After 15:15","No",0.25,"Salisbury"
"ordinary car","red",1.503,"main road","After 15:15","No",0.25,"Salisbury"
"taxi","white",1.876,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.681,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","black",2.185,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",1.964,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",1.64,"main road","After 15:15","Yes",0.25,"Salisbury"
"SUV or pickup","black",1.587,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","silver or grey",2.575,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","black",1.673,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",1.84,"main road","After 15:15","Yes",0.25,"Salisbury"
"ordinary car","blue",1.761,"main road","After 15:15","Yes",0.25,"Salisbury"
